studiengang,modul_id,modulname,satz_nr,satz,typ,taxonomie,konfidenz,split
Wirtschaftsinformatik (B.Sc.),AI1045,CRM-Systeme,7,Die Studierenden implementieren und beurteilen verschiedene Methoden zur Entscheidungsunterstützung.,K,5,0.80,test
Wirtschaftsinformatik (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,1,"In diesem Modul wird bevorzugt mit Low-Code Plattformen gearbeitet, deren Ausgangspunkt in dem Geschäftsprozessmodell liegt, so dass die Qualifikationsziele stark durch diese Form der Low-Code Programmierung gegeben sind – die Studierenden kennen den Zusammenhang zwischen dem Geschäftsprozessmodell und der Ausführung dieses Modells.",K,1,0.70,test
Wirtschaftsinformatik (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,2,Die Studierenden können die prinzipiellen konzeptionellen Unterschiede verschiedener Low-Code Programmierformen und deren Bezug zum komponentenbasierten Softwareengineering sowie der agilen Softwareentwicklung darstellen.,K,2,0.80,train
Wirtschaftsinformatik (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,3,Die Studierenden beschreiben den Unterschied zwischen Geschäftsprozess und Workflow.,K,2,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,4,Die Studierenden erlangen vertiefte Kenntnisse in der Modellierung von Geschäftsprozessen und können so die beim Übergang vom fachlichen Modell zum automatisierten Prozess auftretenden Probleme beschreiben.,K,2,0.80,train
Wirtschaftsinformatik (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,5,Die Studierenden sind mit den Vor- und Nachteilen einer solchen Automatisierung vertraut und können diese nennen und mit Hilfe von Modellen darstellen & implementieren.,K,3,0.70,train
Wirtschaftsinformatik (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,6,"Die Studierenden implementieren typische, kleine komplette Anwendungsfälle – etwa im Prozessmodell, Datenmodell, User-Interface und den Geschäftslogiken und können diese verschiedenen Sichten klar voneinander abgrenzen.",K,4,0.80,test
Wirtschaftsinformatik (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,7,Die Studierenden kennen ein Vorgehensmodell zur Durchführung von Low-Code-Projekten und können ihre in diesem Modul erworbenen technischen Kompetenzen dort einordnen und bei Bedarf auf Plattformen mit einem nicht-prozessorientierten Ansatz übertragen.,K,3,0.70,train
Wirtschaftsinformatik (B.Sc.),AI1454,Digitalisierung von Geschäftsprozessen mit Low Code,8,Die Studierenden sind in der Lage die Möglichkeiten der Steuerung von externen Anwendungen/ Auslagerungen von Funktionen in externen Anwendungen – speziell via Webtechnologien - einschätzen und für einfache Fälle auch implementieren.,K,5,0.70,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,1,"Die Studierenden erkennen die speziellen Fragestellungen, die sich bei der Entwicklung/ Erweiterung von betrieblicher Anwendungssoftware/ Standardsoftware ergeben.",K,4,0.70,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,2,Beispielhaft kann dies anhand von SAP SAP-Anwendungen geschehen – etwa durch eine Programmierung in ABAP-OO oder auch anderen Systemen (abhängig vom Dozenten).,S,,0.90,test
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,3,Die Studierenden beherrschen dem Umgang mit der jeweiligen Programmierumgebung (IDE).,K,3,0.70,test
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,4,AI1030 Entwicklung von betrieblicher Anwendungssoftware SPO B.Sc.,S,,1.00,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,5,"Wirtschaftsinformatik vom 22.01.2020, zuletzt geändert am 17.01.2024 Hochschule Fulda, Fachbereich Angewandte Informatik Seite 57",S,,1.00,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,6,Die Studierenden beschreiben das Programmiermodell des Anwendungssystems je Anwendungstyp.,K,2,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,7,"Die Studierenden implementieren die verschiedenen Anwendungstypen (Reports, Transaktionen).",K,3,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,8,Die Studierenden beschreiben die Beziehung/ wesentlichen Unterschiede zu den bisher bekannten Sprachen (etwa Java/ C).,K,2,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,9,Die Studierenden verstehen die spezielle Rolle der Datenbank für die Anwendung und die Datenbankschnittstelle kann integriert in die Anwendungslogik implementiert werden.,K,3,0.70,test
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,10,"Die Studierenden grenzen weiterführende Konzepte der Anwendungsprogrammierung, speziell in Form von Web-Anwendungen, wie Verwendung des MVC-Patterns, weitere Patterns (Separation of Concerns, MVP) voneinander ab.",K,4,0.80,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,11,Die Studierenden verstehen das Konzept der kundenspezifischen Erweiterung von Anwendungen und können solche implementieren.,K,3,0.80,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,12,Die Studierenden verstehen das Konzept der Verteilung von Anwendungen und können die wesentlichen Punkte benennen sowie kleine Beispiele implementieren.,K,3,0.75,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,13,"Die Studierenden verstehen das Konzept der transaktionalen Verarbeitung und können diese auf das verwendete System anwenden (Locking, Verbuchung, konsistente Datenhaltung).",K,3,0.80,train
Wirtschaftsinformatik (B.Sc.),AI1030,Entwicklung von betrieblicher Anwendungssoftware,14,Die Studierenden beschreiben die Vor- und Nachteile einer horizontalen vs. einer vertikalen Speicherung von Daten.,K,2,0.85,test
Wirtschaftsinformatik (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,1,"Die Studierenden definieren die Grundlagenbegriffe von Politik und Wirtschaft, VWL und BWL.",K,1,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,2,"Die Studierenden erklären das Wirtschaftssystem anhand von Markt und Hierarchie, Plan- und Marktwirtschaft sowie soziale Marktwirtschaft.",K,2,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,3,Die Studierenden beantworten ausgewählte Fragestellung aus der Wirtschaftspolitik.,K,3,0.70,train
Wirtschaftsinformatik (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,4,Beteiligen sich aktiv an aktuellen wirtschaftspolitischen Debatten.,K,3,0.65,train
Wirtschaftsinformatik (B.Sc.),AI1273,Grundlagen der Wirtschaftspolitik,5,Die Studierenden ordnen die vorgebrachten Argumente theoretisch ein und bewerten diese.,K,5,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1130,Kostenrechnung,1,Die Studierenden verstehen den Aufbau einer modernen Kostenrechnung und können bei einer Kostenplanung mitwirken.,K,3,0.75,train
Wirtschaftsinformatik (B.Sc.),AI1130,Kostenrechnung,2,"Ferner sind sie in der Lage, Kostenabweichungen zu interpretieren.",K,2,0.85,train
Wirtschaftsinformatik (B.Sc.),AI1130,Kostenrechnung,3,"Sie sind in der Lage, Diskussionen mit Controllern in Bezug auf Kostenbudgets/ Kostenabweichungen zu führen und ihre Anliegen in der Diskussion erfolgreich vorzubringen.",K,3,0.75,train
Wirtschaftsinformatik (B.Sc.),AI1130,Kostenrechnung,4,"Als Mitarbeitende in der IT sind sie in der Lage, die Anforderungen der Abteilung Kostenrechnung im Rahmen von IT-Projekten aufzunehmen und im Customizing umzusetzen.",K,3,0.85,test
Wirtschaftsinformatik (B.Sc.),AI1052,Personalmanagement,1,Die Studierenden beschreiben den Umgang mit der „Ressource Mensch“ im Unternehmen.,K,2,0.85,test
Wirtschaftsinformatik (B.Sc.),AI1052,Personalmanagement,2,Die Studierenden erklären die Grundfunktionen der Personalbedarfsplanung und -beschaffung.,K,2,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1052,Personalmanagement,3,"Die Studierenden erläutern den Personaleinsatz, die Personalentwicklung und -freisetzung.",K,2,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1052,Personalmanagement,4,Die Studierenden erklären die Personalentlohnung und Personalverwaltung.,K,2,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1052,Personalmanagement,5,Die Studierenden nennen die gängigen Personalauswahlverfahren.,K,1,0.95,train
Wirtschaftsinformatik (B.Sc.),AI1052,Personalmanagement,6,"Die Studierenden bereiten sich kompetent auf Bewerbungsprozesse vor, indem Sie das Verhalten in Bewerbungssituationen trainieren.",K,3,0.80,train
Wirtschaftsinformatik (B.Sc.),AI1052,Personalmanagement,7,"Die Studierenden beschreiben die wesentlichen Faktoren des Berufseinstiegs (Einarbeitung, Gehalt, Einsatz, Kündigungsverfahren).",K,2,0.85,train
Wirtschaftsinformatik (B.Sc.),AI1052,Personalmanagement,8,Die Studierenden trainieren das Verhalten in Bewerbungssituationen.,K,3,0.85,train
Wirtschaftsinformatik (B.Sc.),AI1052,Personalmanagement,9,Die Studierenden simulieren die gängigen Auswahlverfahren der Personalauswahl für den Berufseinstieg.,K,3,0.85,train
Wirtschaftsinformatik (B.Sc.),AI1452,Simulation,1,Die Studierenden haben einen Überblick über Probleme und Ansätze der Anwendung von Computersimulationen in der sozialwissenschaftlichen Wissenschaft und Praxis.,K,1,0.75,train
Wirtschaftsinformatik (B.Sc.),AI1452,Simulation,2,"Sie kennen verschiedene Anwendungen der Computersimulation, können Beispiele nennen und sind in der Lage, Vor- und Nachteile verschiedener Ansätze einzuordnen.",K,5,0.70,train
Wirtschaftsinformatik (B.Sc.),AI1452,Simulation,3,"Darüber hinaus können Sie Probleme modellieren, softwarebasierte Simulationsexperimente durchführen, Simulationsergebnisse auswerten und präsentieren.",K,5,0.80,train
Wirtschaftsinformatik (B.Sc.),AI1053,Unternehmensplanspiel,1,"Die Studierenden sind in der Lage, selbstständig (bzw. in Teamarbeit) betriebswirtschaftliche Entscheidungen unter Berücksichtigung von deren Konsequenzen (z.B. auf Cash Flow oder Gewinn) zu treffen.",K,5,0.80,test
Wirtschaftsinformatik (B.Sc.),AI1053,Unternehmensplanspiel,1,Die Studierenden verstehen den Aufbau wissenschaftlicher Arbeiten und wenden verschiedene Lesetechniken zum Auseinandersetzen mit den Inhalten ausgewählter wissenschaftlicher Arbeiten an,K,3,0.80,test
Wirtschaftsinformatik (B.Sc.),AI1053,Unternehmensplanspiel,2,Die Studierenden kennen wissenschaftliche Evaluationsmethodiken und führen eine Evaluationsmethodik anhand einer selbstgewählten Problemstellung durch,K,3,0.80,train
Wirtschaftsinformatik (B.Sc.),AI1053,Unternehmensplanspiel,3,Die Studierenden erklären die Gütekriterien wissenschaftlicher Arbeit und wenden sie beim Verfassen einer wissenschaftlichen Ausarbeitung an,K,3,0.80,train
Wirtschaftsinformatik (B.Sc.),AI1053,Unternehmensplanspiel,4,Die Studierenden beurteilen die Einhaltung der Gütekritieren wissenschaftlicher Arbeiten anderer Studierenden in Form eines Peer-Reviews,K,5,0.90,train
Wirtschaftsinformatik (B.Sc.),AI1053,Unternehmensplanspiel,5,Die Studierenden präsentieren ihre gewonnen Erkenntnisse,K,3,0.70,test
Wirtschaftsingenieurwesen (B.Sc.),ET1000,Mathematik 1,1,"die wichtigen Begriffe der Mathematik (z.B. Zahlenmengen, Funktionen, Folgen) und der analytischen Geometrie und linearen Algebra (z.B. Vektoren, Matrizen) zu verstehen",K,2,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1000,Mathematik 1,2,die grundlegenden Techniken und Methoden zur Lösung von Gleichungen und zur Untersuchung von Funktionen zu beherrschen,K,3,0.80,test
Wirtschaftsingenieurwesen (B.Sc.),ET1000,Mathematik 1,3,die Funktionen zu analysieren und ihre Eigenschaften zur Lösung verschiedener Probleme anzuwenden,K,3,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1002,Grundlagen der Elektrotechnik 1 – Gleichstromnetzwerke,1,die wichtigsten passiven elektrotechnischen Bauelemente zu benennen und zu erklären,K,2,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1002,Grundlagen der Elektrotechnik 1 – Gleichstromnetzwerke,2,Verfahren zur Berechnung linearer elektrischer Netzwerke anzuwenden,K,3,0.90,train
Wirtschaftsingenieurwesen (B.Sc.),ET1002,Grundlagen der Elektrotechnik 1 – Gleichstromnetzwerke,3,nichtlineare Netzwerke grundlegend zu beschreiben und zu berechnen,K,3,0.70,train
Wirtschaftsingenieurwesen (B.Sc.),ET1599,Physik,1,mit der Dynamik eines Massepunktes umzugehen und einfache Probleme der Newtonschen Mechanik (eines Massepunktes) zu berechnen,K,3,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1599,Physik,2,Trägheitsmomente und Drehbewegungen einfacher starrer Körper zu berechnen,K,3,0.90,train
Wirtschaftsingenieurwesen (B.Sc.),ET1599,Physik,3,die Theorie der Schwingungs- und Wellenvorgänge bei der Lösung einfacher Probleme anzuwenden,K,3,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1599,Physik,4,Begriffe und Gesetze der technischen Thermodynamik wiederzugeben und anzuwenden,K,3,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1599,Physik,5,die Grundlagen der spez.,S,,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1599,Physik,6,Relativitätstheorie zu beschreiben und den rechnerischen Umgang mit deren technischen Konsequenzen zu nennen,K,2,0.60,train
Wirtschaftsingenieurwesen (B.Sc.),ET1599,Physik,7,"qualitativ die Physik der Halbleiter, deren Dotierung und den Aufbau eines pn-Übergangs zu erklären und einfache Probleme in diesem Zusammenhang zu lösen",K,3,0.80,test
Wirtschaftsingenieurwesen (B.Sc.),ET1599,Physik,8,qualitativ die chem.,S,,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1599,Physik,9,"Bindungen, die Kristallstrukturen, die Kristallfehler und den Aufbau von Polymeren zu beschreiben",K,2,0.70,train
Wirtschaftsingenieurwesen (B.Sc.),ET1003,Digitaltechnik und sprachliche Grundlagen,1,einfache Digitalschaltungen zu konstruieren,K,6,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1003,Digitaltechnik und sprachliche Grundlagen,2,die grundlegenden Konzepte des Aufbaus und der Programmierung von Rechnern wiederzugeben,K,1,0.80,test
Wirtschaftsingenieurwesen (B.Sc.),ET1010,Grundlagen der Programmierung,1,"Die Teilnehmenden sind in der Lage, in einer imperativen Programmiersprache unter Anwendung der Programmiermethodik kleinere Aufgaben und Probleme programmtechnisch zu lösen.",K,3,0.90,train
Wirtschaftsingenieurwesen (B.Sc.),ET1006,Mathematik 2,1,die Grundlagen der Differential- und Integralrechnung zu beherrschen und die grundlegenden Techniken anzuwenden,K,3,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1006,Mathematik 2,2,verschiedene Typen von Differentialgleichungen zu lösen und ihre Bedeutung für Anwendungen zu verstehen,K,3,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1009,Grundlagen der Elektrotechnik 2 – Wechselstromnetzwerke,1,das Frequenzverhalten einfacher Wechselstromschaltungen zu berechnen,K,3,0.95,train
Wirtschaftsingenieurwesen (B.Sc.),ET1009,Grundlagen der Elektrotechnik 2 – Wechselstromnetzwerke,2,"Ströme, Spannungen und Leistungen in Mehrphasensystemen zu berechnen",K,3,0.95,train
Wirtschaftsingenieurwesen (B.Sc.),ET1009,Grundlagen der Elektrotechnik 2 – Wechselstromnetzwerke,3,transiente Vorgänge zu berechnen,K,3,0.95,train
Wirtschaftsingenieurwesen (B.Sc.),ET1588,Xperience Lab 1,1,"Versuchsanordnungen zu ausgewählten Themen der Vorlesungen Grundlagen der Elektrotechnik 1 und 2, Messtechnik und Physik unter Einsatz unterschiedlicher Messmittel und Bauelemente aufzubauen",K,3,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1588,Xperience Lab 1,2,das Vorlesungswissen aus Grundlagen der Elektrotechnik 1 und 2 und Physik in praktischen Versuchen anzuwenden,K,3,0.95,train
Wirtschaftsingenieurwesen (B.Sc.),ET1588,Xperience Lab 1,3,Messergebnisse zu dokumentieren und zu bewerten,K,5,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1588,Xperience Lab 1,4,Fehlerschranken zu ermitteln,K,3,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1588,Xperience Lab 1,5,Im Team zu arbeiten,K,3,0.70,train
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,1,die typischen Aufgaben von Ingenieur*innen wiederzugeben,K,1,0.95,test
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,2,die Bedeutung der Technik für Gesellschaft und Wirtschaft zu erklären,K,2,0.95,train
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,3,selbstständig und in Teams zu arbeiten,K,3,0.70,train
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,4,"eine vorgebebene Aufgabenstellung im Team zu analysieren, zu lösen und zu präsentieren",K,5,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,5,naturwissenschaftlich zu denken und methodisch zu arbeiten Die Teilnehmenden beherrschen:,K,3,0.70,train
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,6,Grundverständnis für technische und physikalische Zusammenhänge,I,,0.70,train
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,7,Verständnis einfacher elektrischer Schaltungen,I,,0.70,test
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,8,die Erstellung einfacher mechanische Konstruktionen,K,3,0.75,train
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,9,die Bedienung von einfachen Messgeräten,K,3,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,10,Messungen an einfachen Schaltungen durchzuführen und zu bewerten,K,5,0.85,test
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,11,einfache Programmieraufgaben mit einem eingebetteten System zu lösen,K,3,0.95,train
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,12,Literatur und Internetrecherche wissenschaftlich fundiert zu nutzen,K,3,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1600,Technikprojekt,13,methodisches Arbeiten,I,,0.65,train
Wirtschaftsingenieurwesen (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,1,"die Methodik für das Anfertigen von wissenschaftlichen Arbeiten aus dem Bereich der Elektrotechnik und Informationstechnik, der Erneuerbaren Energien oder der Mechatronik (je nach Studiengang) anzuwenden.",K,3,0.90,test
Wirtschaftsingenieurwesen (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,2,wissenschaftlicher Frage- und Problemstellungen zu formulieren,K,6,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,3,mit wissenschaftlichen Quellen zu arbeiten,K,3,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,4,selbstständig wissenschaftliche Arbeiten nach anerkannten Standards anzufertigen,K,6,0.85,test
Wirtschaftsingenieurwesen (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,5,Arbeitsergebnisse auf Englisch zu präsentieren,K,3,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,1,die Buchführungstechnik der wichtigsten Geschäftsvorfälle in der Praxis zu beherrschen und die Bilanzierung grundlegender Bilanzposten vorzunehmen,K,3,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,2,"die Gewinnauswirkung, Eigenkapitalauswirkung und Cash-Auswirkung eines Geschäftsvorfalles zu",S,,0.60,train
Wirtschaftsingenieurwesen (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,3,die Zusammenhänge zu anderen betriebswirtschaftlichen Teilbereichen auf Basis der Buchführung zu erkennen,K,4,0.75,train
Wirtschaftsingenieurwesen (B.Sc.),ET1601,Wissenschaftliches Arbeiten und Technisches Englisch,4,die Zielsetzungen von Handels- und Steuerbilanz und deren Verknüpfung bzw. Trennung sowie grundlegende Bilanzposten in der Handelsbilanz zu unterscheiden,K,4,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,1,Die Teilnehmenden,S,,0.99,test
Wirtschaftsingenieurwesen (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,2,lernen das Denken in Wahrscheinlichkeiten und sind sich der zugrundeliegenden Annahmen und der Gefahr von Irrtümern bewusst,K,5,0.75,train
Wirtschaftsingenieurwesen (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,3,lernen die wichtigsten Begriffe der elementaren Wahrscheinlichkeitsrechnung und Statistik kennen,K,1,0.90,test
Wirtschaftsingenieurwesen (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,4,können Aufgaben zu den erlernten Methoden selbständig bearbeiten,K,3,0.90,train
Wirtschaftsingenieurwesen (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,5,"lernen, zu einem gegebenen Problem ein zutreffendes wahrscheinlichkeitstheoretisches Modell zu finden",K,3,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1047,Wahrscheinlichkeitsrechnung und Statistik,6,"lernen, statistisch begründete Aussagen kritisch zu werten",K,5,0.90,train
Wirtschaftsingenieurwesen (B.Sc.),ET1015,Elektronik,1,die wichtigsten aktiven Bauelemente und deren Modelle zu erklären,K,2,0.90,train
Wirtschaftsingenieurwesen (B.Sc.),ET1015,Elektronik,2,"mit realen, d.h. frequenzabhängigen, nichtlinearen, temperaturabhängigen und alternden Bauelementen stabile Schaltungen mit vorgegebenen Eigenschaften zu entwerfen",K,6,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1015,Elektronik,3,die Problematik der Anwendung vereinfachter Modelle auf reale Sachverhalte darzulegen,K,2,0.80,test
Wirtschaftsingenieurwesen (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,1,"die theoretischen sowie praktischen Grundlagen des Messens wiederzugeben, zu erläutern und anzuwenden",K,3,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,2,"die wesentlichen Grundlagen auf dem Gebiet des Messens physikalischer Größen zu wiederholen und Probleme bei der Vorbereitung, Durchführung und Auswertung von Messungen selbständig zu lösen",K,3,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,3,in den begleitenden Übungen das erlernte theoretische Wissen auf realitätsnahe Beispiele anzuwenden,K,3,0.90,train
Wirtschaftsingenieurwesen (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,1,"Bedeutung, Aufgaben und Abhängigkeiten der finanzwirtschaftlichen Tätigkeiten Investition und Finanzierung gegenüberzustellen",K,4,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,2,"die wesentlichen Investitionsrechenverfahren auf einfache Fallbeispiele anzuwenden, die Vor- und Nachteile der Verfahren zu beschreiben und ihre Aussagen zu beurteilen",K,5,0.85,test
Wirtschaftsingenieurwesen (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,3,die wichtigsten Formen der Innen- und der Außenfinanzierung und ihre Bedeutung für Unternehmen in Abhängigkeit der Rechtsform zu erläutern und,K,2,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1016,Einführung in die Messtechnik und Systemtheorie,4,die Relevanz von Kapitalstruktur und Kapitalkosten zu illustrieren,K,2,0.75,train
Wirtschaftsingenieurwesen (B.Sc.),ET1596,Xperience Lab 2,1,"Versuchsanordnungen zu ausgewählten Themen der Vorlesungen Grundlagen der Elektrotechnik 3, Elektronik, Messtechnik und Regelungstechnik unter Einsatz unterschiedlicher Messmittel und Bauelemente aufzubauen",K,3,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1596,Xperience Lab 2,2,Messergebnisse zu bewerten und zu dokumentieren.,K,5,0.90,train
Wirtschaftsingenieurwesen (B.Sc.),ET1596,Xperience Lab 2,3,im Team zu arbeiten,K,3,0.70,test
Wirtschaftsingenieurwesen (B.Sc.),ET1022,Regelungstechnik 1,1,das Naturprinzip des Regelns wiederzugeben und die Einsatzpotentiale der industriellen Regelungstechnik zu beurteilen,K,5,0.90,train
Wirtschaftsingenieurwesen (B.Sc.),ET1022,Regelungstechnik 1,2,"anhand der vermittelten theoretischen Kenntnisse und anhand der gängigen Verfahren im Zeit- und Frequenzbereich einfache lineare, zeitkontinuierliche Regekreise selbständig zu analysieren und zu entwerfen",K,6,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1603,Projektmanagement,1,"Das Modul vermittelt grundlegende Kenntnisse, Fertigkeiten und Kompetenzen für die Durchführung komplexer Projekte.",S,,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1603,Projektmanagement,2,"Die Studierenden lernen verschiedene Methoden des traditionellen und agilen Projektmanagements kennen, definieren Projektziele, strukturieren Projekte und führen sie durch.",K,3,0.75,train
Wirtschaftsingenieurwesen (B.Sc.),ET1603,Projektmanagement,3,"Sie entwickeln die Fähigkeit, Projektrisiken zu erkennen, Projekte zu dokumentieren und adäquat zu präsentieren.",K,4,0.75,train
Wirtschaftsingenieurwesen (B.Sc.),ET1603,Projektmanagement,4,"Das Modul fördert außerdem Fach-, Sozial- und Selbstkompetenzen, die für die effektive Zusammenarbeit und persönliche Entwicklung entscheidend sind.",S,,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1141,Planung und Organisation von Produktionen,1,"Die Studierenden kennen Konzepte und Methoden, nach denen Produktionen und Dienstleistungen geplant und später umgesetzt werden.",K,1,0.85,train
Wirtschaftsingenieurwesen (B.Sc.),ET1141,Planung und Organisation von Produktionen,2,Darüber hinaus kennen die Studierenden die Besonderheiten und den Entwicklungsprozess von datenbasierten Dienstleistungen.,K,1,0.85,test
Wirtschaftsingenieurwesen (B.Sc.),ET1141,Planung und Organisation von Produktionen,3,Sie können dabei Methoden des LeanManagements bzw. des Toyota Produktionssystems und des Qualitätsmanagements (Six Sigma) anwenden.,K,3,0.90,train
Wirtschaftsingenieurwesen (B.Sc.),ET1141,Planung und Organisation von Produktionen,1,den Begriff und die Aufgabenfelder der modernen Controlling-Konzeption zu diskutieren und eine zweckmäßige organisatorische Einordnung des Controlling auszuwählen,K,5,0.80,train
Wirtschaftsingenieurwesen (B.Sc.),ET1141,Planung und Organisation von Produktionen,2,die einschlägigen Planungs- und Kontrollinstrumente des strategischen und des operativen Controlling zu erläutern und diese zur Lösung der Entscheidungs- und Steuerungsaufgaben der Unternehmensführung anzuwenden,K,3,0.85,test
Wirtschaftsingenieurwesen (B.Sc.),ET1141,Planung und Organisation von Produktionen,3,die spezifischen Anforderungen internationaler Unternehmen an die Controlling-Funktion zu differenzieren,K,4,0.80,train
